## Skill Drills

When to draw each skill, and the adjacent task that wrongly pulls it.

| Skill | Invoke WHEN | Do NOT invoke for | Pairs with |
|---|---|---|---|
| `skillsmith` | sync / upgrade / create a skill, or run the daily STORM routine | merely *using* a skill — reach for that skill directly | `storm-investigation` (vet), `cleanup` (after) |
| `guild-sync` | prove the device still matches the repo across every surface, then reconcile drift — the Sync Rotation | reconciling skills *alone* (→ `skillsmith sync`, which this delegates to) | `skillsmith` (skills install), `guild-conformity` (close) |
| `guild-conformity` | a quest closes — prove the repo's files agree with every logged decision | proving the rendered dashboard (→ `dashboard-parity`) | `dashboard-parity`, `guild-log` |
| `dashboard-parity` | a change must reach `guild-data.js` and the live DOM, not just source | source-file agreement alone (→ `guild-conformity`) | `guild-conformity`, then `release-train` |
| `release-train` | a body of work is sealed — merge branches/PRs, bump, changelog, stamp, push | single edits or exploratory forks | `guild-conformity`, `dashboard-parity`, `guild-log` |
| `guild-log` | a non-git-visible change **or a decision** — `build.py` re-derives the version | the Lex Council vault-log (→ Strategist) | `release-train`, `guild-conformity` |
| `cleanup` | Lex Council hygiene — i18n, hardcoded text, dev errors, postgres, lint, docs | any other member's work — this rite is the Quartermaster's alone | `skillsmith` (after), `okf` |
| `storm-investigation` | vetting a new-skill idea or auditing a domain from many angles | a single-question lookup | `skillsmith`, `okf` |
| `session-mining` | mining past sessions for lessons → ranked, verified upgrade proposals | live upgrades already scoped, or repo tidy (→ `okf`) | `skillsmith`, `storm-investigation` |
| `guild-reflection` | a non-trivial quest just finished — run the reflective CYCLE to turn it into a durable doctrine diff, or the periodic AUDIT to weed unhelpful skills | mechanically syncing/versioning skills (→ `skillsmith`) or mining raw chat history (→ `session-mining`) | `session-mining`, `skillsmith`, `guild-log` |
| `letting-go` | a run is stuck — same call/step retried N times, re-planning a done step, polishing past diminishing returns | a fresh failure with a *new* cause each time (that's diagnosis, not a stuck loop) | `metamorphosis-check`, `guild-reflection` (log the stall) |
| `metamorphosis-check` | session start, or a tool returns unexpected output / an MCP drops / context truncates — re-inspect state before running the old plan | a routine step whose assumptions plainly still hold | `letting-go`, `guild-reflection` |
| `voices-check` | the top of a genuinely hard response, or when torn between two approaches / output feels one-dimensional | trivial replies — this is not a ritual for every turn | `ultra-brainstorming` (model fan-out, distinct), `storm-investigation` |
| `okf` | the repo drifts from Open Knowledge Format — one concept per file, typed, linked | domain research or skill conception (→ `storm-investigation`) | `cleanup`, `skillsmith` |
| `workflow-runner` | RUN a declared workflow end-to-end via `guild/run.py`, or invoke the frame/plan/efficiency/leveling primitives | SELECTING which workflow (→ `members-formation`) or AUTHORING one (→ `workflow-forge`) | `skillsmith`, `guild-conformity` |
| `star-alliance-language` | first on entering an OKF repo — read the concept map, never blind-read | a one-file edit where the path is already known | every reading task |
| `weapon-utility` | before picking a model, or running the plan→do→review loop with a doer | it is doctrine, never a deliverable — never "produce" it | every doer dispatch |
| `portability-audit` | before deploying members to a new project, or diagnosing why arsenal tools fail outside the repo | when work is entirely inside the star-alliance repo | `project-start` (verify after) |
| `project-start` | top of any session in an SA-equipped project — quick 5s health check | inside the star-alliance repo itself (it's the source, not a target) | `portability-audit` (diagnose), `skillsmith sync` (fix) |
