## Skill Drills

When to draw each skill, and the adjacent task that wrongly pulls it.

| Skill | Invoke WHEN | Do NOT invoke for | Pairs with |
|---|---|---|---|
| `design-taste` | any UI work — set/enforce the premium anti-slop visual language | backend logic, DB schema, copy-only errands | `impeccable`, every visual craft |
| `design-unity` | a UI must follow ONE source of truth — establish the DESIGN.md + token file (primitive→semantic→component, dark/light/high-contrast theme sets), audit drift, reconcile it; **this is also where the a11y gate lives** — assert WCAG 2.2 AA contrast in both themes, focus-visible, ≥24px targets, reduced-motion, keyboard, ARIA/alt against the token set | first-pass *taste* decisions (→ `design-taste`) or generating imagery (→ `imagegen-frontend`) | `design-taste` (encode mode seeds the SoT), `impeccable` |
| `design-tokens` | you must *structure* the token system behind the source of truth — primitive→semantic→component layering, multi-theme (light/dark/high-contrast) from one semantic layer, OKLCH ramps, fluid scales + logical-property RTL, the W3C token format for cross-platform portability | auditing drift against the tokens (→ `design-unity`) or deciding the visual language (→ `design-taste`) | `design-unity` (it polices what this structures), `a11y-craft` (contrast-as-token), `image-to-code` |
| `design-language` | a surface needs a narrative *voice* — vocabulary, lore, naming | visual styling, layout, color, type (that is `design-taste`) | `imagegen-frontend` (`brand`), `design-taste` |
| `motion-design` | building a component's motion (Create) or reviewing existing motion for AI-slop + emitting the branded report (Audit) — exact easing/duration token, three designer lenses weighted by context | deciding *whether* a surface should move or overall style (that is `design-taste`) | `design-taste` (its `motion` mode) |
| `image-to-code` | a reference image is in hand and production frontend must mirror it | imagery-only output (→ `imagegen-frontend`) or a critique pass (→ `impeccable`) | `design-taste`, `imagegen-frontend` |
| `imagegen-frontend` | any design imagery — `web` mode for site sections, `mobile` for app screens, `brand` for the full identity (boards, logo systems, identity decks, the brand mark). **Token-pinned:** prefix every generation prompt with the active token snapshot (color, type, space, radius, motion) so generated assets cannot drift from the design language | production code (→ `image-to-code`) or deciding the visual language (→ `design-taste`) | `image-to-code`, `design-taste`, `design-language`, ← Herald briefs `brand` |
| `a11y-craft` | making a UI accessible — WCAG 2.2 AA as a gate (`build`), running the a11y audit pass (`audit`), or contrast-as-token so AA can't be violated (`contrast`) | first-pass *taste* (→ `design-taste`) or pure visual-regression polish (→ `impeccable`) | `design-unity` (hosts the gate), `design-tokens` (contrast-as-token), `impeccable` |
| `penpot-design-platform` | driving the Penpot platform or its MCP/plugin API — inspect a file, pull components/tokens, generate or modify boards, write a plugin | deciding the visual language (→ `design-taste`) or turning a screenshot into code (→ `image-to-code`) | `design-tokens` (consume exported tokens), `image-to-code` |
| `impeccable` | the **final QA gate** before ship — visual-regression against the token file, breakpoint/responsive verification, contrast + a11y re-audit, pixel-snap and polish on a *delivered* build | first-pass design, greenfield builds, or *setting* the visual language (→ `design-taste`) | `design-unity` (shares the a11y/token checks), `image-to-code` |
| `ux-research` | learning from real users — interviews, usability tests, surveys, synthesis into personas/journeys | visual judgment (→ `design-taste`) or accessibility (→ `a11y-craft`) | `ux-copywriting`, `design-taste` |
| `ux-copywriting` | functional in-product copy — error/empty/loading states, microcopy, onboarding, confirmations | brand voice/lore (→ `design-language`) or long-form marketing (→ `article-creator`) | `ux-research`, `design-language` |
| `star-alliance-language` | first on entering an OKF repo — read the concept map, never blind-read | a one-file edit where the path is already known | every reading task |
| `weapon-utility` | before picking a model, or running the plan→do→review loop with a doer | it is doctrine, never a deliverable — never "produce" it | every doer dispatch |
