## Skill Drills

When to draw each skill, and the adjacent task that wrongly pulls it.

| Skill | Invoke WHEN | Do NOT invoke for | Pairs with |
|---|---|---|---|
| `market-recon` | reading a market — asset, trade-idea, portfolio, or macro/rates. The *read* | writing a strategy spec (→ `trading-strategy`) or auditing the book (→ `portfolio-risk`) | `storm-investigation`, `trading-strategy` |
| `trading-strategy` | a view must become a paper-executable spec — entry/exit/stop/sizing/backtest. The *plan* | reading the market or sizing the book; never executes | `market-recon`, `portfolio-risk` |
| `portfolio-risk` | the whole book needs audit — exposures, VaR, drawdown, stress, rebalance proposal. The *book* | single-asset reads or trade ideas (→ `market-recon`) | `trading-strategy`, `market-recon` |
| `japanese-candlesticks` | reading candlestick lines/patterns by name and psychology | trade execution, strategy build, or book risk | `market-recon`, `trading-strategy`, `volume-price-analysis` |
| `volume-price-analysis` | reading a chart through volume confirming/contradicting price — effort vs result, the insider cycle (accumulation/distribution/climax), VAP (Anna Coulling) | trade execution, strategy build, or book risk; reads, never decides | `japanese-candlesticks`, `market-recon`, `trading-strategy` |
| `chart-patterns` | naming and reading a price *formation* by name — H&S, double/triple tops, triangles, flags, gaps, wedges — its psychology, measure-rule target, and Bulkowski odds | reading single candle lines (→ `japanese-candlesticks`), the volume layer (→ `volume-price-analysis`), or a strategy build; reads, never executes | `japanese-candlesticks`, `volume-price-analysis`, `market-recon` |
| `price-action` | reading market *structure* — trend impulse/pullback, range balance, the regime interfaces (breakout/reversal/failed reversal), order-flow imbalance (Adam Grimes) | naming a discrete formation (→ `chart-patterns`) or single candle lines (→ `japanese-candlesticks`); reads structure, never executes | `chart-patterns`, `japanese-candlesticks`, `market-recon` |
| `algorithmic-trading-chan` | the *doctrine* behind a strategy — cointegration, half-life, Kelly sizing, why a backtest lies, mean-reversion vs momentum (Ernie Chan) | forging one dated spec (→ `trading-strategy`) or reading a live market (→ `market-recon`); never executes | `trading-strategy`, `portfolio-risk`, `market-recon` |
| `probability-statistics` | the *math of uncertainty* underneath a call — distribution fit, CLT, significance test, confidence interval, MLE, Bayesian vs frequentist | forging a trade spec (→ `trading-strategy`) or sizing a book (→ `portfolio-risk`); analysis only, never executes | `algorithmic-trading-chan`, `portfolio-risk`, `storm-investigation` |
| `storm-investigation` | before any recommendation — five personas (Bull/Bear/Macro/Quant/Contrarian) | a single-perspective read or a final verdict; investigates, never decides | `market-recon`, `trading-strategy`, `portfolio-risk` |
| `timeseries-forecasting` | projecting a numeric series forward — TimesFM zero-shot point + quantile bands, covariates, backtest | naming a formation (→ `chart-patterns`) or forging a trade spec (→ `trading-strategy`); analysis only, never executes | `probability-statistics`, `market-recon` |
| `cn-market-strategy-pack` | matching a stock to one of 15 named CN/HK/US strategies — trend, reversal, theme/event, chan/wave | forging one bespoke dated spec (→ `trading-strategy`) or a general market read (→ `market-recon`); reads, never executes | `chart-patterns`, `price-action`, `trading-strategy` |
| `ultra-brainstorming` | fanning a thesis across all thinker models, then synthesizing one ranked view | a single-perspective read or a final buy/sell verdict | `storm-investigation`, `market-recon` |
| `financial-data-reach` | ACQUIRING and cleaning market/fundamental/filing/macro data; never trades | synthesizing a written read (→ `market-recon`) or social scraping (→ `agent-web-reach`) | `market-recon`, `data-analysis-viz`, `probability-statistics` |
| `data-analysis-viz` | turning a dataset/CSV/query into EDA, honest charts, and a findings narrative | inference theory (→ `probability-statistics`) or knowledge graphs (→ `graphify`) | `financial-data-reach`, `probability-statistics` |
| `agent-web-reach` | pulling blocked web/social/transcript content for a market read — Twitter/Reddit/YouTube/filings pages | financial feeds proper (→ `financial-data-reach`) or a written synthesis (→ `market-recon`) | `financial-data-reach`, `market-recon` |
| `star-alliance-language` | first on entering an OKF repo — read the concept map, never blind-read | a one-file edit where the path is already known | every reading task |
| `weapon-utility` | before picking a model, or running the plan→do→review loop with a doer | it is doctrine, never a deliverable — never "produce" it | every doer dispatch |
